@relation itdoesntmatter-weka.filters.unsupervised.attribute.Remove-R8-221

@attribute line_number numeric
@attribute num_words numeric
@attribute median_word_length numeric
@attribute mean_word_length numeric
@attribute journal_name {arxiv,jdm,plos}
@attribute expert_annotator numeric
@attribute section_name {abstract,introduction}
@attribute AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH1 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH2 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH3 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH4 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH5 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH6 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH7 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH8 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH9 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH10 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH11 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH12 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH13 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH14 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH15 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH16 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH17 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH18 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH19 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH0AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH1AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH2AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH3AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH4AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH5AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH6AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH7AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH8AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH9AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH10AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH11AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH12AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH13AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH14AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH15AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH16AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH17AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH18AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute AHH19AHH0 {1,DET,NOUN,ADP,VERB,ADJ,.,ADV,NUM,CONJ,PRON,PRT,X}
@attribute class_label {AIM,BASE,CONT,OWN,MISC}

@data
0,17,6,6.117647,arxiv,0,abstract,DET,NOUN,NOUN,NOUN,NOUN,ADP,NOUN,NOUN,NOUN,ADP,DET,NOUN,NOUN,NOUN,VERB,VERB,?,?,?,?,?,?,?,?,VERB,VERB,NOUN,NOUN,NOUN,DET,ADP,NOUN,NOUN,NOUN,ADP,NOUN,NOUN,NOUN,NOUN,DET,MISC
1,38,5,5.842105,arxiv,0,abstract,ADP,DET,VERB,NOUN,NOUN,VERB,ADJ,.,ADV,DET,NOUN,VERB,NOUN,NOUN,VERB,DET,ADV,ADJ,NOUN,NOUN,NOUN,NOUN,ADJ,ADV,DET,VERB,NOUN,NOUN,VERB,NOUN,DET,ADV,.,ADJ,VERB,NOUN,NOUN,VERB,DET,ADP,MISC
2,21,4,4.761905,arxiv,0,abstract,ADP,NOUN,.,ADP,ADJ,NUM,VERB,ADV,VERB,NOUN,NOUN,DET,VERB,ADV,CONJ,ADV,ADJ,ADP,DET,ADP,ADP,DET,ADP,ADJ,ADV,CONJ,ADV,VERB,DET,NOUN,NOUN,VERB,ADV,VERB,NUM,ADJ,ADP,.,NOUN,ADP,MISC
3,16,4,4.75,arxiv,0,abstract,PRON,VERB,ADP,DET,VERB,ADV,DET,NOUN,ADP,DET,NOUN,NOUN,VERB,ADV,NOUN,NOUN,?,?,?,?,?,?,?,?,NOUN,NOUN,ADV,VERB,NOUN,NOUN,DET,ADP,NOUN,DET,ADV,VERB,DET,ADP,VERB,PRON,AIM
4,14,5,5,arxiv,0,abstract,PRON,VERB,DET,ADJ,NOUN,NOUN,ADP,DET,NOUN,NOUN,ADP,ADJ,NOUN,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,NOUN,ADJ,ADP,NOUN,NOUN,DET,ADP,NOUN,NOUN,ADJ,DET,VERB,PRON,OWN
5,17,5,5.117647,arxiv,0,abstract,DET,VERB,DET,ADJ,NOUN,.,ADJ,PRT,DET,NUM,ADP,NOUN,NOUN,.,ADP,ADJ,ADJ,NOUN,NOUN,?,?,NOUN,NOUN,ADJ,ADJ,ADP,.,NOUN,NOUN,ADP,NUM,DET,PRT,ADJ,.,NOUN,ADJ,DET,VERB,DET,OWN
6,22,5.5,5.954545,arxiv,0,abstract,PRON,VERB,DET,NOUN,PRT,NOUN,NOUN,VERB,ADJ,ADP,NOUN,CONJ,NOUN,NOUN,.,CONJ,NOUN,PRT,ADJ,NOUN,NOUN,ADJ,PRT,NOUN,CONJ,.,NOUN,NOUN,CONJ,NOUN,ADP,ADJ,VERB,NOUN,NOUN,PRT,NOUN,DET,VERB,PRON,OWN
7,30,5,5.966667,arxiv,0,introduction,.,VERB,NOUN,.,.,.,NOUN,NOUN,.,.,.,NOUN,.,.,DET,DET,NOUN,VERB,PRT,DET,DET,PRT,VERB,NOUN,DET,DET,.,.,NOUN,.,.,.,NOUN,NOUN,.,.,.,NOUN,VERB,.,MISC
8,17,5,6.176471,arxiv,0,introduction,ADP,ADJ,NOUN,ADV,.,DET,NOUN,NOUN,VERB,ADV,ADJ,.,CONJ,ADV,DET,ADJ,NOUN,VERB,ADJ,?,?,ADJ,VERB,NOUN,ADJ,DET,ADV,CONJ,.,ADJ,ADV,VERB,NOUN,NOUN,DET,.,ADV,NOUN,ADJ,ADP,CONT
9,34,3,4.676471,arxiv,0,introduction,DET,NOUN,CONJ,NOUN,.,NOUN,DET,NOUN,.,NOUN,VERB,DET,DET,ADJ,NOUN,ADP,DET,NOUN,NOUN,CONJ,CONJ,NOUN,NOUN,DET,ADP,NOUN,ADJ,DET,DET,VERB,NOUN,.,NOUN,DET,NOUN,.,NOUN,CONJ,NOUN,DET,MISC
10,17,5,5.176471,arxiv,0,introduction,ADP,NOUN,.,DET,NOUN,NOUN,VERB,ADV,VERB,VERB,ADV,.,ADP,ADV,DET,ADJ,NOUN,VERB,VERB,?,?,VERB,VERB,NOUN,ADJ,DET,ADV,ADP,.,ADV,VERB,VERB,ADV,VERB,NOUN,NOUN,DET,.,NOUN,ADP,MISC
11,10,3,4.5,arxiv,0,introduction,ADV,ADJ,VERB,DET,NOUN,ADP,NOUN,NOUN,CONJ,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,CONJ,NOUN,NOUN,ADP,NOUN,DET,VERB,ADJ,ADV,MISC
12,6,6,6.166667,arxiv,0,introduction,DET,NOUN,VERB,VERB,ADJ,NOUN,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,NOUN,ADJ,VERB,VERB,NOUN,DET,MISC
13,17,4,4.823529,arxiv,0,introduction,ADP,ADJ,NOUN,.,DET,ADJ,NOUN,NOUN,VERB,DET,ADJ,CONJ,ADJ,VERB,NOUN,ADP,DET,NOUN,?,?,?,?,NOUN,DET,ADP,NOUN,VERB,ADJ,CONJ,ADJ,DET,VERB,NOUN,NOUN,ADJ,DET,.,NOUN,ADJ,ADP,MISC
