% Featurization 2: Word list frequency counts
% This featurization of the sentence data
% poses an attribute for each wordlist.
% The value of the attribute associated with wordlist
% L for a sentence S equals the number of words in
% L that appear in S (not counting duplicates).
%
@RELATION itdoesntmatter

@ATTRIBUTE aim.txt INTEGER
@ATTRIBUTE base.txt INTEGER
@ATTRIBUTE contrast.txt INTEGER
@ATTRIBUTE own.txt INTEGER
@ATTRIBUTE class_label {AIM, BASE, CONT, OWN, MISC}

@DATA
0,0,0,1,MISC
2,0,0,4,MISC
1,0,1,2,MISC
3,0,2,4,AIM
1,1,0,2,OWN
2,0,0,2,OWN
2,0,0,3,OWN
2,0,0,3,MISC
0,0,5,1,CONT
1,0,0,2,MISC
0,0,1,2,MISC
0,0,0,1,MISC
0,0,0,0,MISC
0,0,1,2,MISC
0,0,1,1,MISC
1,0,0,2,MISC
0,0,0,2,MISC
1,0,0,1,MISC
0,0,0,0,MISC
2,0,0,2,MISC
1,0,0,3,MISC
2,0,1,4,MISC
0,0,1,1,MISC
0,0,0,0,MISC
0,0,0,1,MISC
1,1,0,3,MISC
0,0,1,0,MISC
0,0,1,0,MISC
1,0,1,2,MISC
0,0,0,3,MISC
1,0,2,2,MISC
2,0,0,5,MISC
4,1,0,3,AIM
0,0,1,0,OWN
1,0,0,2,OWN
2,0,1,2,MISC
2,1,0,2,OWN
0,0,0,1,MISC
1,0,0,1,MISC
1,0,0,4,MISC
2,0,0,4,MISC
1,1,0,2,MISC
2,0,1,3,MISC
0,1,2,2,MISC
1,0,0,1,MISC
2,0,0,4,MISC
1,0,1,1,MISC
0,0,0,0,MISC
2,0,0,3,MISC
0,0,0,1,MISC
0,0,1,0,MISC
1,0,2,2,MISC
1,0,0,2,MISC
1,0,0,2,MISC
0,0,0,1,MISC
2,0,0,3,MISC
0,0,0,1,MISC
1,0,0,2,MISC
1,0,0,1,MISC
3,0,1,3,OWN
1,0,0,2,OWN
1,0,0,2,OWN
0,0,0,1,OWN
2,1,0,2,OWN
1,1,0,2,OWN
0,0,0,0,OWN
3,0,0,5,OWN
0,0,0,1,MISC
2,0,0,4,MISC
1,0,1,2,MISC
3,0,2,4,AIM
1,1,0,2,OWN
2,0,0,2,OWN
2,0,0,3,OWN
2,0,0,3,MISC
0,0,5,1,CONT
1,0,0,2,MISC
0,0,1,2,MISC
0,0,0,1,MISC
0,0,0,0,MISC
0,0,1,2,MISC
0,0,1,1,MISC
1,0,0,2,MISC
0,0,0,2,MISC
1,0,0,1,MISC
0,0,0,0,MISC
2,0,0,2,MISC
1,0,0,3,MISC
2,0,1,4,MISC
0,0,1,1,MISC
0,0,0,0,MISC
0,0,0,1,MISC
1,1,0,3,MISC
0,0,1,0,MISC
0,0,1,0,MISC
1,0,1,2,MISC
0,0,0,3,MISC
1,0,2,2,MISC
2,0,0,5,MISC
4,1,0,3,AIM
0,0,1,0,OWN
1,0,0,2,OWN
2,0,1,2,OWN
2,1,0,2,OWN
0,0,0,1,MISC
1,0,0,1,MISC
1,0,0,4,MISC
2,0,0,4,MISC
1,1,0,2,MISC
2,0,1,3,MISC
0,1,2,2,MISC
1,0,0,1,MISC
2,0,0,4,MISC
1,0,1,1,MISC
0,0,0,0,MISC
2,0,0,3,MISC
0,0,0,1,MISC
0,0,1,0,MISC
1,0,2,2,MISC
1,0,0,2,MISC
1,0,0,2,MISC
0,0,0,1,MISC
2,0,0,3,MISC
0,0,0,1,MISC
1,0,0,2,MISC
1,0,0,1,MISC
3,0,1,3,OWN
1,0,0,2,OWN
1,0,0,2,OWN
0,0,0,1,OWN
2,1,0,2,OWN
1,1,0,2,OWN
0,0,0,0,OWN
3,0,0,5,OWN
0,0,0,1,OWN
2,0,0,4,MISC
1,0,1,2,MISC
3,0,2,4,AIM
1,1,0,2,OWN
2,0,0,2,OWN
2,0,0,3,OWN
2,0,0,3,MISC
0,0,5,1,MISC
1,0,0,2,MISC
0,0,1,2,MISC
0,0,0,1,MISC
0,0,0,0,MISC
0,0,1,2,MISC
0,0,1,1,MISC
1,0,0,2,MISC
0,0,0,2,MISC
1,0,0,1,MISC
0,0,0,0,MISC
2,0,0,2,MISC
1,0,0,3,MISC
2,0,1,4,MISC
0,0,1,1,MISC
0,0,0,0,MISC
0,0,0,1,MISC
1,1,0,3,MISC
0,0,1,0,MISC
0,0,1,0,MISC
1,0,1,2,MISC
0,0,0,3,MISC
1,0,2,2,MISC
2,0,0,5,MISC
4,1,0,3,AIM
0,0,1,0,OWN
1,0,0,2,OWN
2,0,1,2,OWN
2,1,0,2,OWN
0,0,0,1,MISC
1,0,0,1,OWN
1,0,0,4,OWN
2,0,0,4,MISC
1,1,0,2,MISC
2,0,1,3,MISC
0,1,2,2,MISC
1,0,0,1,MISC
2,0,0,4,MISC
1,0,1,1,MISC
0,0,0,0,MISC
2,0,0,3,MISC
0,0,0,1,MISC
0,0,1,0,MISC
1,0,2,2,MISC
1,0,0,2,MISC
1,0,0,2,MISC
0,0,0,1,MISC
2,0,0,3,MISC
0,0,0,1,MISC
1,0,0,2,MISC
1,0,0,1,OWN
3,0,1,3,OWN
1,0,0,2,OWN
1,0,0,2,OWN
0,0,0,1,OWN
2,1,0,2,OWN
1,1,0,2,OWN
0,0,0,0,OWN
3,0,0,5,OWN
0,0,2,1,MISC
1,1,1,1,MISC
7,1,0,6,AIM
1,0,0,4,OWN
2,0,0,4,OWN
3,0,0,3,OWN
0,0,0,0,MISC
1,1,1,1,MISC
1,0,0,1,MISC
0,0,1,1,MISC
0,1,0,1,MISC
0,0,0,3,MISC
2,0,0,2,MISC
0,0,1,0,MISC
1,1,1,1,MISC
1,0,1,3,MISC
0,0,0,1,MISC
1,0,0,1,MISC
1,1,1,2,MISC
1,0,0,3,MISC
1,0,0,2,MISC
1,0,1,2,MISC
4,0,0,2,MISC
7,1,0,6,AIM
2,1,0,5,OWN
3,0,0,3,OWN
2,0,0,6,AIM
2,2,0,6,OWN
0,0,1,5,OWN
3,0,0,4,OWN
2,0,0,4,OWN
2,0,0,4,OWN
1,0,0,4,OWN
2,0,0,2,OWN
0,0,2,1,MISC
1,1,1,1,MISC
7,1,0,6,AIM
1,0,0,4,OWN
2,0,0,4,OWN
3,0,0,3,OWN
0,0,0,0,MISC
1,1,1,1,MISC
1,0,0,1,MISC
0,0,1,1,MISC
0,1,0,1,MISC
0,0,0,3,MISC
2,0,0,2,MISC
0,0,1,0,MISC
1,1,1,1,MISC
1,0,1,3,MISC
0,0,0,1,MISC
1,0,0,1,MISC
1,1,1,2,MISC
1,0,0,3,MISC
1,0,0,2,MISC
1,0,1,2,MISC
4,0,0,2,MISC
7,1,0,6,AIM
2,1,0,5,AIM
3,0,0,3,OWN
2,0,0,6,OWN
2,2,0,6,OWN
0,0,1,5,OWN
3,0,0,4,OWN
2,0,0,4,BASE
2,0,0,4,OWN
1,0,0,4,OWN
2,0,0,2,OWN
0,0,1,1,MISC
1,1,1,1,MISC
7,1,0,6,AIM
0,0,0,3,OWN
2,0,0,4,OWN
2,0,0,2,OWN
0,0,0,0,MISC
1,1,1,1,MISC
0,0,0,0,MISC
0,0,1,1,MISC
0,1,0,1,MISC
0,0,0,3,MISC
2,0,0,2,MISC
0,0,1,0,MISC
1,0,1,1,MISC
1,0,1,3,MISC
0,0,0,1,MISC
1,0,0,1,MISC
1,0,1,2,MISC
1,0,0,3,MISC
1,0,0,2,MISC
1,0,1,2,MISC
4,0,0,2,MISC
7,1,0,6,AIM
1,1,0,4,OWN
2,0,0,2,BASE
2,0,0,6,OWN
1,2,0,5,OWN
0,0,1,5,OWN
3,0,0,4,OWN
2,0,0,3,OWN
2,0,0,3,OWN
1,0,0,3,OWN
1,0,0,0,OWN
4,1,1,5,AIM
0,2,0,3,OWN
5,0,0,7,OWN
1,0,0,1,MISC
0,0,1,1,MISC
2,0,1,3,MISC
0,0,0,1,MISC
3,0,0,5,MISC
1,1,2,1,MISC
2,0,1,1,MISC
2,0,0,2,MISC
0,0,1,1,MISC
0,0,1,3,MISC
2,0,2,4,MISC
2,0,0,4,MISC
3,0,4,4,MISC
0,0,1,2,MISC
0,0,2,2,MISC
0,1,1,1,MISC
2,1,1,2,CONT
4,0,0,5,AIM
1,0,0,2,OWN
3,0,0,4,OWN
0,1,1,4,CONT
4,1,1,5,AIM
0,1,0,2,OWN
4,0,0,6,AIM
1,0,0,1,MISC
0,0,1,1,MISC
2,0,1,3,MISC
0,0,0,1,MISC
3,0,0,5,MISC
1,1,2,1,MISC
2,0,1,1,MISC
2,0,0,2,MISC
0,0,1,1,MISC
0,0,1,2,MISC
2,0,2,4,MISC
2,0,0,4,MISC
3,0,3,4,MISC
0,0,1,2,MISC
0,0,2,2,MISC
0,1,0,1,MISC
2,1,1,2,MISC
4,0,0,5,AIM
0,0,0,1,OWN
3,0,0,4,AIM
0,1,1,4,OWN
4,1,1,5,AIM
0,1,0,2,BASE
4,0,0,6,OWN
1,0,0,1,MISC
0,0,1,1,MISC
2,0,1,3,MISC
0,0,0,1,MISC
3,0,0,5,MISC
1,1,2,1,MISC
2,0,1,1,MISC
2,0,0,2,MISC
0,0,1,1,MISC
0,0,1,2,MISC
2,0,2,4,MISC
2,0,0,4,MISC
3,0,3,4,MISC
0,0,1,2,MISC
0,0,2,2,MISC
0,1,0,1,MISC
2,1,1,2,MISC
4,0,0,5,AIM
0,0,0,1,OWN
3,0,0,4,OWN
0,1,1,4,BASE
0,0,0,2,MISC
1,1,1,3,MISC
3,0,0,2,AIM
3,0,2,4,CONT
0,1,1,1,CONT
1,0,0,1,MISC
4,0,2,6,CONT
0,1,0,1,CONT
1,0,2,3,BASE
1,0,0,2,AIM
0,0,0,1,OWN
3,0,1,4,OWN
3,0,2,2,OWN
0,0,0,2,MISC
1,1,1,3,MISC
3,0,0,2,MISC
3,0,2,4,OWN
0,1,1,1,OWN
1,0,0,1,MISC
4,0,2,6,MISC
0,1,0,1,MISC
1,0,2,3,BASE
1,0,0,2,AIM
0,0,0,1,OWN
3,0,1,4,AIM
3,0,2,2,OWN
0,0,0,2,MISC
1,1,1,3,MISC
2,0,0,1,AIM
2,0,2,3,OWN
0,1,1,1,OWN
1,0,0,1,MISC
4,0,2,6,MISC
0,1,0,1,MISC
1,0,2,3,BASE
0,0,0,1,AIM
0,0,0,1,OWN
3,0,1,4,OWN
3,0,2,2,MISC
0,1,1,4,CONT
1,0,1,4,CONT
0,0,2,2,CONT
1,0,3,1,CONT
1,0,1,2,CONT
3,0,0,4,AIM
1,0,0,2,OWN
2,0,0,4,BASE
2,0,1,4,OWN
2,0,0,2,OWN
0,1,1,3,CONT
0,0,0,2,CONT
1,0,1,5,CONT
1,0,1,4,CONT
