@RELATION featurization_5

@ATTRIBUTE line_num INTEGER
@ATTRIBUTE journal {arxiv, jdm, plos}
@ATTRIBUTE expert INTEGER
@ATTRIBUTE section {abstract, introduction}
@ATTRIBUTE dt INTEGER
@ATTRIBUTE nnp INTEGER
@ATTRIBUTE nn INTEGER
@ATTRIBUTE in INTEGER
@ATTRIBUTE vbz INTEGER
@ATTRIBUTE vbn INTEGER
@ATTRIBUTE vbg INTEGER
@ATTRIBUTE jj INTEGER
@ATTRIBUTE comma INTEGER
@ATTRIBUTE rb INTEGER
@ATTRIBUTE colon INTEGER
@ATTRIBUTE cd INTEGER
@ATTRIBUTE cc INTEGER
@ATTRIBUTE prp INTEGER
@ATTRIBUTE md INTEGER
@ATTRIBUTE vb INTEGER
@ATTRIBUTE nns INTEGER
@ATTRIBUTE wdt INTEGER
@ATTRIBUTE vbp INTEGER
@ATTRIBUTE jjr INTEGER
@ATTRIBUTE to INTEGER
@ATTRIBUTE opquote INTEGER
@ATTRIBUTE closequote INTEGER
@ATTRIBUTE nnps INTEGER
@ATTRIBUTE prp$ INTEGER
@ATTRIBUTE jjs INTEGER
@ATTRIBUTE wrb INTEGER
@ATTRIBUTE pos INTEGER
@ATTRIBUTE vbd INTEGER
@ATTRIBUTE ex INTEGER
@ATTRIBUTE rbr INTEGER
@ATTRIBUTE none INTEGER
@ATTRIBUTE ls INTEGER
@ATTRIBUTE rbs INTEGER
@ATTRIBUTE wp INTEGER
@ATTRIBUTE rp INTEGER
@ATTRIBUTE pdt INTEGER
@ATTRIBUTE wpmoney INTEGER
@ATTRIBUTE hashhash INTEGER
@ATTRIBUTE periodperiod INTEGER
@ATTRIBUTE class {AIM, BASE, CONT, OWN, MISC}

@DATA
0,arxiv,0,abstract,2,3,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
1,arxiv,0,abstract,6,0,15,2,4,2,1,2,3,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
2,arxiv,0,abstract,1,2,1,4,0,0,0,1,1,3,0,1,1,0,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
3,arxiv,0,abstract,3,1,3,2,2,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AIM
4,arxiv,0,abstract,2,1,4,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OWN
5,arxiv,0,abstract,3,1,2,2,1,0,0,4,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OWN
6,arxiv,0,abstract,1,2,5,2,1,0,0,3,1,0,0,0,2,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OWN
7,arxiv,0,introduction,6,2,11,3,1,0,0,2,3,1,1,0,1,0,0,0,1,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
8,arxiv,0,introduction,2,1,2,1,2,0,0,4,2,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONT
9,arxiv,0,introduction,7,3,9,4,1,0,0,3,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISC
