% Featurization 2: Word list frequency counts
% This featurization of the sentence data
% poses an attribute for each wordlist.
% The value of the attribute associated with wordlist
% L for a sentence S equals the number of words in
% L that appear in S (not counting duplicates).
%
@RELATION feat_6

@ATTRIBUTE journal {arxiv, jdm, plos}
@ATTRIBUTE expert INTEGER
@ATTRIBUTE section {abstract, introduction}
@ATTRIBUTE passive_voice INTEGER
@ATTRIBUTE class_label {AIM, BASE, CONT, OWN, MISC}


@DATA
arxiv,0,abstract,1,MISC
arxiv,0,abstract,1,MISC
arxiv,0,abstract,0,MISC
arxiv,0,abstract,1,AIM
arxiv,0,abstract,0,OWN
arxiv,0,abstract,0,OWN
arxiv,0,abstract,0,OWN
arxiv,0,introduction,0,MISC
arxiv,0,introduction,0,CONT
arxiv,0,introduction,0,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,0,MISC
arxiv,0,introduction,0,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,0,MISC
arxiv,0,introduction,0,MISC
arxiv,0,introduction,0,MISC
arxiv,0,introduction,0,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,0,MISC
arxiv,0,introduction,0,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,0,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,0,AIM
arxiv,0,introduction,0,OWN
arxiv,0,introduction,0,OWN
arxiv,0,introduction,1,MISC
arxiv,0,introduction,0,OWN
arxiv,0,introduction,1,MISC
arxiv,0,introduction,0,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,0,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,0,MISC
arxiv,0,introduction,1,MISC
arxiv,0,introduction,0,MISC
arxiv,0,introduction,1,MISC
